time,mph,fRpm,rRpm,afr,map,fTemp,fPress,lrh,rrh,utc
1527436542.799,40,0,0,12.7,14.6,46,49,44,30,2018-05-27T15:55:43.000Z
1527436543.204,42,0,0,12.7,14.6,46,49,44,30,2018-05-27T15:55:43.000Z
1527436543.606,44,0,0,12.7,14.6,46,49,44,30,2018-05-27T15:55:44.000Z
1527436544.010,46,0,0,12.7,14.6,46,49,44,30,2018-05-27T15:55:44.000Z
1527436544.414,47,0,0,12.7,14.6,46,49,44,30,2018-05-27T15:55:44.000Z
1527436544.818,50,0,0,12.7,14.6,46,49,44,30,2018-05-27T15:55:44.000Z
1527436545.222,53,0,0,12.7,14.6,46,49,44,30,2018-05-27T15:55:45.000Z
1527436545.625,55,0,0,12.7,14.6,46,49,44,30,2018-05-27T15:55:45.000Z
1527436546.028,56,0,0,12.7,14.6,46,49,44,30,2018-05-27T15:55:46.000Z
1527436546.416,57,0,0,11.7,15.0,46,49,47,30,2018-05-27T15:55:46.000Z
1527436546.834,58,0,0,11.8,15.6,47,48,48,29,2018-05-27T15:55:47.000Z
1527436547.239,59,0,0,11.8,15.7,47,48,49,29,2018-05-27T15:55:47.000Z
1527436547.642,60,0,0,11.7,15.8,47,48,50,29,2018-05-27T15:55:47.000Z
1527436548.046,60,0,0,11.7,16.0,47,48,52,29,2018-05-27T15:55:48.000Z
1527436548.450,60,0,0,11.8,16.0,47,48,52,29,2018-05-27T15:55:48.000Z
1527436548.853,60,0,0,11.8,16.0,47,47,52,29,2018-05-27T15:55:48.000Z
1527436549.246,64,0,0,11.8,16.0,47,48,52,29,2018-05-27T15:55:49.000Z
1527436549.661,65,0,0,11.7,16.0,48,48,52,29,2018-05-27T15:55:50.000Z
1527436550.065,68,0,0,11.7,15.9,48,48,50,29,2018-05-27T15:55:50.000Z
1527436550.469,68,0,0,11.7,14.8,48,48,47,30,2018-05-27T15:55:50.000Z
1527436550.872,70,0,0,12.7,14.6,48,49,44,30,2018-05-27T15:55:50.000Z
1527436551.277,70,0,0,12.7,14.6,48,49,44,30,2018-05-27T15:55:51.000Z
1527436551.679,74,0,0,12.7,14.6,48,49,44,30,2018-05-27T15:55:51.000Z
1527436552.082,75,0,0,12.7,14.6,49,49,44,30,2018-05-27T15:55:52.000Z
1527436552.470,76,0,0,12.7,14.6,49,49,44,30,2018-05-27T15:55:52.000Z
1527436552.888,70,0,0,12.7,14.6,49,49,44,30,2018-05-27T15:55:53.000Z
1527436553.293,79,0,0,12.7,14.6,49,49,44,30,2018-05-27T15:55:53.000Z
1527436553.697,80,0,0,12.7,14.6,49,49,44,30,2018-05-27T15:55:53.000Z
1527436554.100,82,0,0,11.2,14.1,49,49,44,30,2018-05-27T15:55:54.000Z
1527436554.488,83,0,0,11.2,12.0,49,50,46,32,2018-05-27T15:55:54.000Z
1527436554.907,84,0,0,11.2,11.6,49,51,47,32,2018-05-27T15:55:55.000Z
1527436555.296,85,0,0,11.2,11.6,49,51,47,32,2018-05-27T15:55:55.000Z
1527436555.715,86,0,0,11.2,11.6,50,51,47,32,2018-05-27T15:55:56.000Z
1527436556.118,87,0,0,11.2,11.6,50,51,46,32,2018-05-27T15:55:56.000Z
1527436556.522,88,0,0,11.2,11.7,50,51,46,32,2018-05-27T15:55:56.000Z
1527436556.925,90,0,0,11.2,11.8,50,51,47,32,2018-05-27T15:55:56.000Z
1527436557.329,93,0,0,11.2,11.8,50,51,47,32,2018-05-27T15:55:57.000Z
1527436557.734,91,0,0,11.2,11.8,51,51,46,32,2018-05-27T15:55:58.000Z
1527436558.138,94,0,0,12.7,14.6,51,49,43,30,2018-05-27T15:55:58.000Z
1527436558.524,92,0,0,12.7,14.6,51,49,44,30,2018-05-27T15:55:58.000Z
1527436558.944,96,0,0,12.7,14.6,51,49,44,30,2018-05-27T15:55:59.000Z
